code,name,exclude_reason
920000,安徽凤凰,北交所
920001,纬达光电,北交所
920002,万达轴承,北交所
920003,中诚咨询,北交所
920005,鼎佳精密,北交所
920006,晟楠科技,北交所
920007,酉立智能,北交所
920008,成电光信,北交所
920009,丹娜生物,北交所
920010,凯添燃气,北交所
920011,晨光电机,北交所
920012,创达新材,北交所
920014,特瑞斯,北交所
920015,锦华新材,北交所
920016,中草香料,北交所
920017,星昊医药,北交所
920018,宏远股份,北交所
920019,铜冠矿建,北交所
920020,泰凯英,北交所
920021,流金科技,北交所
920022,世昌股份,北交所
920023,*ST田野,北交所
920026,卓兆点胶,北交所
920027,交大铁发,北交所
920028,新恒泰,北交所
920029,开发科技,北交所
920030,德众汽车,北交所
920033,康普化学,北交所
920035,精创电气,北交所
920036,觅睿科技,北交所
920037,广信科技,北交所
920039,国义招标,北交所
920045,蘅东光,北交所
920046,亿能电力,北交所
920047,诺思兰德,北交所
920050,爱舍伦,北交所
920055,隆源股份,北交所
920056,能之光,北交所
920057,百甲科技,北交所
920058,华洋赛车,北交所
920060,万源通,北交所
920061,西磁科技,北交所
920062,科润智控,北交所
920066,科拜尔,北交所
920068,天工股份,北交所
920069,普昂医疗,北交所
920075,柏星龙,北交所
920076,国亮新材,北交所
920077,吉林碳谷,北交所
920078,族兴新材,北交所
920080,奥美森,北交所
920082,方正阀门,北交所
920083,金戈新材,北交所
920086,科马材料,北交所
920087,秋乐种业,北交所
920088,科力股份,北交所
920089,禾昌聚合,北交所
920090,*ST同辉,北交所
920091,大鹏工业,北交所
920092,汉鑫科技,北交所
920096,嘉晨智能,北交所
920098,科隆新材,北交所
920099,瑞华技术,北交所
920100,三协电机,北交所
920101,志高机械,北交所
920106,林泰新材,北交所
920108,宏海科技,北交所
920110,雷特科技,北交所
920111,聚星科技,北交所
920112,巴兰仕,北交所
920116,星图测控,北交所
920118,太湖远大,北交所
920119,美德乐,北交所
920121,江天科技,北交所
920122,中纺标,北交所
920123,芭薇股份,北交所
920124,南特科技,北交所
920125,鸿仕达,北交所
920126,永大股份,北交所
920128,胜业电气,北交所
920130,立方控股,北交所
920132,泰鹏智能,北交所
920139,华岭股份,北交所
920145,恒合股份,北交所
920146,华阳变速,北交所
920149,旭杰科技,北交所
920152,昆工科技,北交所
920156,海昌智能,北交所
920158,长江能科,北交所
